GPU name,GPU memory,Memory type,Price
 GeForce RTX 3060, 12 GB, GDDR6,1 899.00
 GeForce RTX 3060, 12 GB, GDDR6,1 699.00
 Radeon™ RX 6700, 10 GB, GDDR6,1 959.00
 GeForce RTX 3060 Ti, 8 GB, GDDR6X,2 259.00
 GeForce RTX 4070 Ti, 12 GB, GDDR6X,4 399.00
 GeForce GTX 1650, 4 GB, GDDR6,769.00
 GeForce RTX 3060, 12 GB, GDDR6,1 999.00
 GeForce RTX 3060, 12 GB, GDDR6,1 899.00
 GeForce RTX 3060, 12 GB, GDDR6,1 689.00
 GeForce RTX 3070, 8 GB, GDDR6,2 849.00
 GeForce RTX 4070 Ti, 12 GB, GDDR6X,4 599.00
 GeForce RTX 3060, 8 GB, GDDR6,1 599.00
 GeForce RTX 3060 Ti, 8 GB, GDDR6X,2 299.00
 GeForce RTX 3060, 12 GB, GDDR6,2 099.00
 GeForce RTX 3080, 10 GB, GDDR6X,3 999.00
 GeForce GTX 1650, 4 GB, GDDR6,799.00
 GeForce RTX 3060 Ti, 8 GB, GDDR6,2 299.00
 GeForce RTX 3070 Ti, 8 GB, GDDR6X,3 649.00
 GeForce RTX 4070 Ti, 12 GB, GDDR6X,4 629.00
 GeForce RTX 4070 Ti, 12 GB, GDDR6X,4 599.00
 GeForce RTX 3060, 12 GB, GDDR6,1 939.00
 GeForce GTX 1650, 4 GB, GDDR6,819.00
 GeForce RTX 4070 Ti, 12 GB, GDDR6X,4 799.00
 GeForce RTX 4070 Ti, 12 GB, GDDR6X,4 669.00
 GeForce RTX 4080, 16 GB, GDDR6X,6 799.00
 GeForce RTX 4070 Ti, 12 GB, GDDR6X,4 849.00
 GeForce RTX 4090, 24 GB, GDDR6X,9 849.00
 GeForce GTX 1660 SUPER, 6 GB, GDDR6,1 329.00
 Radeon™ RX 6600, 8 GB, GDDR6,1 399.00
 GeForce RTX 3060, 8 GB, GDDR6,1 599.00
 GeForce RTX 3050, 8 GB, GDDR6,1 499.00
 GeForce RTX 4070 Ti, 12 GB, GDDR6X,4 499.00
 GeForce RTX 4080, 16 GB, GDDR6X,6 399.00
 Intel Arc A770, 16 GB, GDDR6,2 199.00
 Radeon™ RX 6650 XT, 8 GB, GDDR6,1 829.00
 GeForce RTX 2060, 6 GB, GDDR6,1 599.00
 GeForce RTX 2060, 6 GB, GDDR6,1 549.00
 GeForce RTX 4080, 16 GB, GDDR6X,6 259.00
 GeForce RTX 3060, 8 GB, GDDR6,1 749.00
 GeForce RTX 3070, 8 GB, GDDR6,2 739.00
 GeForce RTX 3060 Ti, 8 GB, GDDR6,2 259.00
 GeForce RTX 3060, 8 GB, GDDR6,1 669.00
 Radeon™ R7 240, 2 GB, GDDR5,299.00
 Radeon™ RX 6400, 4 GB, GDDR6,749.00
 GeForce GT 730, 2 GB, GDDR5,439.00
 GeForce RTX 3050, 8 GB, GDDR6,1 469.00
 GeForce RTX 3070, 8 GB, GDDR6,2 849.00
 GeForce GTX 1650, 4 GB, GDDR6,899.00
 GeForce GT 710, 2 GB, DDR3,259.00
 GeForce GT 1030, 2 GB, GDDR5,469.00
 GeForce RTX 4070 Ti, 12 GB, GDDR6X,4 629.00
 GeForce GTX 1630, 4 GB, GDDR6,729.00
 GeForce RTX 3070 Ti, 8 GB, GDDR6X,3 399.00
 GeForce RTX 4080, 16 GB, GDDR6X,7 399.00
 GeForce RTX 3080, 10 GB, GDDR6X,4 099.00
 Radeon™ RX 6500 XT, 4 GB, GDDR6,969.00
 GeForce RTX 3060, 12 GB, GDDR6,2 149.00
 GeForce RTX 3070 Ti, 8 GB, GDDR6X,3 799.00
 GeForce RTX 3070 Ti, 8 GB, GDDR6X,3 549.00
 GeForce GTX 1650, 4 GB, GDDR5,999.00
 GeForce RTX 3060, 12 GB, GDDR6,2 099.00
 GeForce GTX 1650, 4 GB, GDDR6,959.00
 GeForce RTX 3080, 10 GB, GDDR6X,3 699.00
 GeForce RTX 2060, 6 GB, GDDR6,1 449.00
 GeForce GT 1030, 2 GB, GDDR5,549.00
 GeForce RTX 4080, 16 GB, GDDR6X,6 279.00
 GeForce RTX 4070 Ti, 12 GB, GDDR6X,5 599.00
 Intel Arc A380, 6 GB, GDDR6,899.00
 GeForce RTX 4080, 16 GB, GDDR6X,7 399.00
 GeForce RTX 4080, 16 GB, GDDR6X,6 559.00
 GeForce RTX 4090, 24 GB, GDDR6X,11 599.00
 GeForce RTX 4090, 24 GB, GDDR6X,9 299.00
 GeForce RTX 4090, 24 GB, GDDR6X,10 299.00
 GeForce RTX 3060, 12 GB, GDDR6,1 839.00
 GeForce GT 730, 2 GB, DDR3,339.00
 GeForce RTX 3050, 8 GB, GDDR6,1 599.00
 Radeon™ RX 6600, 8 GB, GDDR6,1 549.00
 GeForce RTX 3060 Ti, 8 GB, GDDR6,2 199.00
 GeForce RTX 3060 Ti, 8 GB, GDDR6,2 749.00
 GeForce RTX 3060, 12 GB, GDDR6,1 949.00
 GeForce RTX 3060 Ti, 8 GB, GDDR6,2 359.00
 GeForce GTX 1660 SUPER, 6 GB, GDDR6,1 399.00
 GeForce GT 1030, 2 GB, GDDR5,489.00
 GeForce GTX 1050 Ti, 4 GB, GDDR5,849.00
 GeForce RTX 4070 Ti, 12 GB, GDDR6X,4 849.00
 GeForce GTX 1650, 4 GB, GDDR5,849.00
 GeForce RTX 3060, 8 GB, GDDR6,1 729.00
 Intel Arc A750, 8 GB, GDDR6,1 659.00
 GeForce RTX 4080, 16 GB, GDDR6X,6 299.00
 GeForce RTX 4080, 16 GB, GDDR6X,6 799.00
 GeForce RTX 4080, 16 GB, GDDR6X,6 879.00
 GeForce RTX 4080, 16 GB, GDDR6X,6 999.00
 GeForce RTX 2060, 6 GB, GDDR6,1 399.00
 GeForce RTX 4090, 24 GB, GDDR6X,11 599.00
 GeForce RTX 4090, 24 GB, GDDR6X,9 999.00
 GeForce RTX 3050, 8 GB, GDDR6,1 469.00
 Radeon™ RX 6500 XT, 4 GB, GDDR6,1 029.00
 GeForce RTX 3060, 12 GB, GDDR6,2 399.00
 GeForce RTX 3060 Ti, 8 GB, GDDR6,2 899.00
 GeForce RTX 3070 Ti, 8 GB, GDDR6X,3 299.00
 GeForce GTX 1650, 4 GB, GDDR6,1 019.00
 GeForce RTX 3060, 12 GB, GDDR6,1 699.00
 GeForce GTX 1650, 4 GB, GDDR6,869.00
 GeForce GTX 1650, 4 GB, GDDR6,849.00
 GeForce GTX 1660 SUPER, 6 GB, GDDR6,1 479.00
 GeForce GT 1030, 2 GB, DDR4,479.00
 GeForce GT 1030, 2 GB, GDDR5,479.00
 GeForce RTX 4080, 16 GB, GDDR6X,6 259.00
 Radeon™ RX 7900 XTX, 24 GB, GDDR6,6 329.00
 GeForce RTX 3050, 8 GB, GDDR6,1 799.00
 Radeon™ RX 7900 XT, 20 GB, GDDR6,5 249.00
 Radeon™ RX 7900 XT, 20 GB, GDDR6,5 699.00
 Radeon™ RX 7900 XT, 20 GB, GDDR6,5 099.00
 GeForce RTX 4080, 16 GB, GDDR6X,8 299.00
 GeForce RTX 4080, 16 GB, GDDR6X,6 799.00
 GeForce RTX 4080, 16 GB, GDDR6X,7 299.00
 GeForce RTX 4080, 16 GB, GDDR6X,6 499.00
 Radeon™ RX 6400, 4 GB, GDDR6,959.00
 Radeon™ RX 6650 XT, 8 GB, GDDR6,1 939.00
 Radeon™ RX 6400, 4 GB, GDDR6,979.00
 GeForce RTX 3050, 8 GB, GDDR6,1 649.00
 GeForce GT 730, 2 GB, DDR3,369.00
 GeForce RTX 3050, 8 GB, GDDR6,1 699.00
 GeForce RTX 3050, 8 GB, GDDR6,1 599.00
 GeForce RTX 3050, 8 GB, GDDR6,1 649.00
 GeForce RTX 3050, 8 GB, GDDR6,1 739.00
 GeForce RTX 3050, 8 GB, GDDR6,1 929.00
 GeForce GTX 1660 SUPER, 6 GB, GDDR6,1 429.00
 GeForce GTX 1660 Ti, 6 GB, GDDR6,1 399.00
 Radeon™ RX 6600 XT, 8 GB, GDDR6,2 199.00
 GeForce RTX 3060 Ti, 8 GB, GDDR6,2 239.00
 GeForce RTX 3070 Ti, 8 GB, GDDR6X,4 449.00
 GeForce GT 710, 2 GB, DDR5,319.00
 GeForce GT 730, 2 GB, DDR3,379.00
 GeForce GTX 1650, 4 GB, GDDR6,899.00
 GeForce GTX 1650, 4 GB, GDDR6,1 029.00
 GeForce GTX 1660 SUPER, 6 GB, GDDR6,1 519.00
 GeForce GT 730, 4 GB, DDR3,489.00
 GeForce GT 1030, 2 GB, GDDR5,449.00
 GeForce GT 710, 2 GB, GDDR3,285.00
 GeForce RTX 3060 Ti, 8 GB, GDDR6X,2 359.00
 GeForce GT 710, 2 GB, GDDR5,339.00
 GeForce RTX 3060, 8 GB, GDDR6,1 999.00
 GeForce RTX 3060 Ti, 8 GB, GDDR6,2 449.00
 GeForce RTX 4080, 16 GB, GDDR6X,6 399.00
 GeForce RTX 3050, 8 GB, GDDR6,1 399.00
 Radeon™ RX 7900 XT, 20 GB, GDDR6,5 249.00
 Radeon™ RX 7900 XT, 20 GB, GDDR6,5 749.00
 Radeon™ RX 7900 XTX, 24 GB, GDDR6,6 949.00
 Radeon™ RX 7900 XT, 20 GB, GDDR6,5 249.00
 Radeon™ RX 7900 XT, 20 GB, GDDR6,5 249.00
 Intel Arc A770, 8 GB, GDDR6,1 959.00
 GeForce RTX 3060 Ti, 8 GB, GDDR6X,2 499.00
 GeForce RTX 4080, 16 GB, GDDR6X,7 149.00
 GeForce RTX 4080, 16 GB, GDDR6X,6 699.00
 GeForce GTX 1650, 4 GB, GDDR5,889.00
 GeForce RTX 4080, 16 GB, GDDR6X,7 599.00
 GeForce RTX 4080, 16 GB, GDDR6X,6 899.00
 GeForce RTX 4080, 16 GB, GDDR6X,7 349.00
 GeForce RTX 4080, 16 GB, GDDR6X,7 499.00
 GeForce RTX 4090, 24 GB, GDDR6X,10 999.00
 GeForce RTX 4090, 24 GB, GDDR6X,12 199.00
 GeForce RTX 4090, 24 GB, GDDR6X,11 299.00
 GeForce RTX 4090, 24 GB, GDDR6X,10 499.00
 GeForce RTX 4090, 24 GB, GDDR6X,9 899.00
 GeForce RTX 4090, 24 GB, GDDR6X,10 199.00
 GeForce RTX 4090, 24 GB, GDDR6X,9 999.00
 GeForce RTX 4090, 24 GB, GDDR6X,10 099.00
 GeForce RTX 3050, 8 GB, GDDR6,1 599.00
 GeForce GTX 1630, 4 GB, GDDR6,759.00
 GeForce GTX 1630, 4 GB, GDDR6,789.00
 GeForce GTX 1630, 4 GB, GDDR6,799.00
 GeForce GTX 1630, 4 GB, GDDR6,799.00
 GeForce RTX 3070, 8 GB, GDDR6,3 099.00
 Radeon™ RX 6950 XT, 16 GB, GDDR6,5 799.00
 GeForce RTX 3050, 8 GB, GDDR6,1 869.00
 Radeon™ RX 6400, 4 GB, GDDR6,859.00
 Radeon™ RX 6400, 4 GB, GDDR6,1 059.00
 Radeon™ RX 6400, 4 GB, GDDR6,739.00
 GeForce GT 730, 2 GB, GDDR5,389.00
 GeForce RTX 3050, 8 GB, GDDR6,1 599.00
 GeForce RTX 3050, 8 GB, GDDR6,1 579.00
 GeForce RTX 3050, 8 GB, GDDR6,1 539.00
 GeForce RTX 3050, 8 GB, GDDR6,1 599.00
 Radeon™ RX 6500 XT, 4 GB, GDDR6,1 139.00
 GeForce RTX 3050, 8 GB, GDDR6,1 579.00
 GeForce RTX 3050, 8 GB, GDDR6,1 739.00
 GeForce RTX 3050, 8 GB, GDDR6,1 599.00
 GeForce GT 730, 2 GB, DDR3,399.00
 Radeon™ RX 6600 XT, 8 GB, GDDR6,2 059.00
 Radeon™ RX 6600 XT, 8 GB, GDDR6,2 199.00
 GeForce RTX 3070, 8 GB, GDDR6,3 259.00
 GeForce RTX 3080, 10 GB, GDDR6X,4 399.00
 GeForce RTX 3070, 8 GB, GDDR6,2 949.00
 GeForce RTX 3070 Ti, 8 GB, GDDR6X,3 549.00
 GeForce RTX 3090, 24 GB, GDDR6X,5 699.00
 GeForce RTX 3070 Ti, 8 GB, GDDR6X,3 699.00
 GeForce RTX 3060, 12 GB, GDDR6,1 999.00
 Radeon™ RX 6900 XT, 16 GB, GDDR6,7 199.00
 GeForce GT 710, 2 GB, DDR5,329.00
 Radeon™ RX 6900 XT, 16 GB, GDDR6,5 599.00
 GeForce RTX 3080, 10 GB, GDDR6X,4 299.00
 GeForce GTX 1650, 4 GB, GDDR6,889.00
 GeForce GTX 1650, 4 GB, GDDR6,1 149.00
 GeForce GT 1030, 2 GB, DDR4,479.00
 GeForce GT 710, 2 GB, DDR3,259.00
 GeForce GTX 1650, 4 GB, GDDR5,959.00
 GeForce GT 1030, 2 GB, DDR4,529.00
 GeForce GT 1030, 2 GB, DDR4,499.00
 GeForce GT 1030, 2 GB, GDDR5,539.00
